id,пол,город,relation
6184,пол женский,Санкт-Петербург,данные извлечь невозможно
6219,пол женский,Санкт-Петербург,данные извлечь невозможно
6225,пол мужской,Санкт-Петербург,данные извлечь невозможно
6242,пол мужской,Barcelona,данные извлечь невозможно
6260,пол мужской,Санкт-Петербург,данные извлечь невозможно
6273,пол женский,Санкт-Петербург,данные извлечь невозможно
6281,пол мужской,город не указан,данные извлечь невозможно
6287,пол мужской,Москва,данные извлечь невозможно
6295,пол мужской,Санкт-Петербург,данные извлечь невозможно
6308,пол мужской,Санкт-Петербург,данные извлечь невозможно
6309,пол мужской,Москва,данные извлечь невозможно
6333,пол женский,Санкт-Петербург,данные извлечь невозможно
6371,пол мужской,Санкт-Петербург,данные извлечь невозможно
6424,пол мужской,Санкт-Петербург,данные извлечь невозможно
6448,пол мужской,Санкт-Петербург,данные извлечь невозможно
6456,пол мужской,город не указан,1
6472,пол женский,Москва,данные извлечь невозможно
6495,пол женский,Москва,данные извлечь невозможно
6503,пол женский,Санкт-Петербург,данные извлечь невозможно
6553,пол женский,Basel,данные извлечь невозможно
6559,пол мужской,Барнаул,4
6579,пол мужской,Санкт-Петербург,данные извлечь невозможно
6585,пол мужской,Versailles,данные извлечь невозможно
6592,пол мужской,Helsinki,данные извлечь невозможно
6618,пол женский,Санкт-Петербург,данные извлечь невозможно
6637,пол мужской,Санкт-Петербург,данные извлечь невозможно
6652,пол женский,Москва,данные извлечь невозможно
6659,пол женский,Санкт-Петербург,данные извлечь невозможно
6673,пол мужской,Санкт-Петербург,данные извлечь невозможно
6710,пол мужской,New York City,данные извлечь невозможно
6732,пол мужской,Санкт-Петербург,данные извлечь невозможно
6735,пол женский,Тель-Авив,данные извлечь невозможно
6769,пол мужской,Санкт-Петербург,данные извлечь невозможно
6847,пол женский,Санкт-Петербург,данные извлечь невозможно
6895,пол женский,Санкт-Петербург,данные извлечь невозможно
6897,пол мужской,город не указан,данные извлечь невозможно
6919,пол мужской,Санкт-Петербург,данные извлечь невозможно
6923,пол женский,город не указан,данные извлечь невозможно
6953,пол женский,Москва,данные извлечь невозможно
6962,пол мужской,город не указан,данные извлечь невозможно
6967,пол женский,Санкт-Петербург,данные извлечь невозможно
6977,пол мужской,город не указан,данные извлечь невозможно
6994,пол женский,Оренбург,данные извлечь невозможно
7028,пол мужской,Санкт-Петербург,данные извлечь невозможно
7079,пол мужской,Naaldwijk,данные извлечь невозможно
7086,пол мужской,Санкт-Петербург,данные извлечь невозможно
7091,пол мужской,Ariel,данные извлечь невозможно
7098,пол мужской,Санкт-Петербург,данные извлечь невозможно
7126,пол женский,город не указан,данные извлечь невозможно
7156,пол мужской,Санкт-Петербург,4
7158,пол женский,Москва,данные извлечь невозможно
7172,пол женский,Иноземцево,данные извлечь невозможно
